VARIABLES	"Variable		
Name"	Model Generated	Monetary	Default Variable	"Default		
Value"	"Automatic		
Label"																	
	sin10_s	1	1	n/a	1E-13	system : intermediate : 10 : simulated	-	-	-	-	-	-	-	"Adult and household minimum living standard (MLS), multiplied by factor"	poanc: income limit	-	-	-	-	-			
	sin11_s	1	1	n/a	1E-13	system : intermediate : 11 : simulated	-	-	-	-	-	-	-	-	tintj: Personal Tax Allowance (Minimo Personal)	-	-	-	-	-			
	sin12_s	1	1	n/a	1E-13	system : intermediate : 12 : simulated	-	-	-	-	-	-	-	Children minimum living standard (MLS)	tintj: Family Tax Allowance for Children (M�nimo Familiar por Hijos)	-	-	-	-	-			
	sin13_s	1	1	n/a	1E-13	system : intermediate : 13 : simulated	-	-	-	-	-	-	-	Total MLS	tintj: Family Tax Allowance for Dependent Parents (M�nimo Familiar por Ascendiente) 	-	-	-	-	-			
	sin14_s	1	1	n/a	1E-13	system : intermediate : 14 : simulated	-	-	-	-	-	-	-	Total minimum living standard (MLS)	tintj: Employment Income Tax Allowance  (Deducci�n por Rendimientos del Trabajo)  	-	-	-	-	-			
	sin15_s	1	1	n/a	1E-13	system : intermediate : 15 : simulated	-	-	-	-	-	-	-	Household minimum living standard (MLS)	bch00: disability as a monetary variable	-	-	-	-	-			
	sin16_s	1	1	n/a	1E-13	system : intermediate : 16 : simulated	-	-	-	-	-	-	-	imputed self-employment income for income test of social benefits	tinjt: Mortgage tax credit (Deducci�n por inversi�n en vivienda habitual: Adquisici�n o rehabilitaci�n de la vivienda habitual) 	-	-	-	-	-			
	sin17_s	1	1	n/a	1E-13	system : intermediate : 17 : simulated	-	-	-	-	-	-	-	Housing cost limited by normative housing costs	tintj: eligible for joint taxation	-	-	-	-	-			
	sin18_s	1	1	n/a	1E-13	system : intermediate : 18 : simulated	-	-	-	-	-	-	-	Total minimum living standard for social assistance	bunct: no of days worked in the qualifying period	-	-	-	-	-			
	sin19_s	1	1	n/a	1E-13	system : intermediate : 19 : simulated	-	-	-	-	-	-	-	-	bunct: minimum unemployment insurance amount	-	-	-	-	-			
	sin20_s	1	1	n/a	1E-13	system : intermediate : 20 : simulated	-	-	-	-	-	-	-	-	bunct: maximum unemployment insurance amount	-	-	-	-	-			
	sin21_s	1	1	n/a	1E-13	system : intermediate : 21 : simulated	-	-	-	-	-	-	-	-	poacm: minimum pension	-	-	-	-	-			
	sin22_s	1	1	n/a	1E-13	system : intermediate : 22 : simulated	-	-	-	-	-	-	-	-	psuwdcm: minimum pension	-	-	-	-	-			
	sin23_s	1	1	n/a	1E-13	system : intermediate : 23 : simulated	-	-	-	-	-	-	-	-	bunnc: unemployment spell not covered by unemployment insurance	-	-	-	-	-			
	sin24_s	1	1	n/a	1E-13	system : intermediate : 24 : simulated	-	-	-	-	-	-	-	-	bunct: number of dependent children	-	-	-	-	-			
	sin25_s	1	1	n/a	1E-13	system : intermediate : 25 : simulated	-	-	-	-	-	-	-	-	bunct: amount per month	-	-	-	-	-			
	sin26_s	1	1	n/a	1E-13	system : intermediate : 26 : simulated	-	-	-	-	-	-	-	-	bunnc: number of dependent children	-	-	-	-	-			
	sin27_s	1	1	n/a	1E-13	system : intermediate : 27 : simulated	-	-	-	-	-	-	-	-	tsc: contribution group	-	-	-	-	-			
	sin28_s	1	1	n/a	1E-13	system : intermediate : 28 : simulated	-	-	-	-	-	-	-	-	tinjt: Joint Tax Allowance (Deducci�n por declaraci�n conjunta)	-	-	-	-	-			
	sin29_s	1	1	n/a	1E-13	system : intermediate : 29 : simulated	-	-	-	-	-	-	-	-	tinit: Main residence rent tax credit (Deducci�n por alquiler de vivienda habitual)	-	-	-	-	-			
	sin30_s	1	1	n/a	1E-13	system : intermediate : 30 : simulated	-	-	-	-	-	-	-	-	tinjt: Main residence rent tax credit (Deducci�n por alquiler de vivienda habitual)	-	-	-	-	-			
	sin31_s	1	1	n/a	1E-13	system : intermediate : 31 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin32_s	1	1	n/a	1E-13	system : intermediate : 32 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin33_s	1	1	n/a	1E-13	system : intermediate : 33 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin34_s	1	1	n/a	1E-13	system : intermediate : 34 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin35_s	1	1	n/a	1E-13	system : intermediate : 35 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin36_s	1	1	n/a	1E-13	system : intermediate : 36 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin37_s	1	1	n/a	1E-13	system : intermediate : 37 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin38_s	1	1	n/a	1E-13	system : intermediate : 38 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin39_s	1	1	n/a	1E-13	system : intermediate : 39 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin40_s	1	1	n/a	1E-13	system : intermediate : 40 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin41_s	1	1	n/a	1E-13	system : intermediate : 41 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin42_s	1	1	n/a	1E-13	system : intermediate : 42 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin43_s	1	1	n/a	1E-13	system : intermediate : 43 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin44_s	1	1	n/a	1E-13	system : intermediate : 44 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin45_s	1	1	n/a	1E-13	system : intermediate : 45 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin46_s	1	1	n/a	1E-13	system : intermediate : 46 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin47_s	1	1	n/a	1E-13	system : intermediate : 47 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin48_s	1	1	n/a	1E-13	system : intermediate : 48 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin49_s	1	1	n/a	1E-13	system : intermediate : 49 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	sin50_s	1	1	n/a	1E-13	system : intermediate : 50 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	snc_s	1	0	n/a	1E-13	system : # children : simulated	-	-	-	-	-	-	-	-	-	no. of children	-	-	-	-			
	sncnd_s	1	0	n/a	1E-13	system : # children : # of disabled : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	snd_s	1	0	n/a	1E-13	system : # of disabled : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	srr_s	1	0	n/a	0.0000000000001	system : replacement rate : simulated	-	-	-	-	-	-	-	-	-	replacement rate (for maternity benefit)	-	-	-	-			
	stk01_s	1	0	n/a	0.0000000000001	system : take up : 01 : simulated	-	-	-	-	-	-	-	-	-	-	-	Take up rate - random number	-	-			
	stk02_s	1	0	n/a	0.0000000000001	system : take up : 02 : simulated	-	-	-	-	-	-	-	-	-	-	-	Take up rate - random number	-	-			
	stk03_s	1	0	n/a	0.0000000000001	system : take up : 03 : simulated	-	-	-	-	-	-	-	-	-	-	-	Take up - random number	-	-			
	stk04_s	1	0	n/a	0.0000000000001	system : take up : 04 : simulated	-	-	-	-	-	-	-	-	-	-	-	Take up - random number	-	-			
	stk05_s	1	0	n/a	0.0000000000001	system : take up : 05 : simulated	-	-	-	-	-	-	-	-	-	-	-	Take up - random number	-	-			
	stk06_s	1	0	n/a	0.0000000000001	system : take up : 06 : simulated	-	-	-	-	-	-	-	-	-	-	-	Take up - random number	-	-			
	stm01	0	0	n/a	0	system : temporary variable : 01	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm01_s	1	1	n/a	1E-13	system : temporary variable : 01 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm02_s	1	1	n/a	1E-13	system : temporary variable : 02 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm03_s	1	1	n/a	1E-13	system : temporary variable : 03 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm04_s	1	1	n/a	1E-13	system : temporary variable : 04 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm05_s	1	1	n/a	1E-13	system : temporary variable : 05 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm06_s	1	1	n/a	1E-13	system : temporary variable : 06 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm07_s	1	1	n/a	1E-13	system : temporary variable : 07 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm08_s	1	1	n/a	1E-13	system : temporary variable : 08 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm09_s	1	1	n/a	1E-13	system : temporary variable : 09 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm10_s	1	1	n/a	1E-13	system : temporary variable : 10 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm11_s	1	1	n/a	1E-13	system : temporary variable : 11 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	stm12_s	1	1	n/a	1E-13	system : temporary variable : 12 : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tad	0	1	n/a	0	tax : repayments/receipts	tax repayment or receipt	-	-	-	-	-	-	-	tax repayment or receipt (cuota diferencial del IRPF)	tax repayment or receipt	tax repayment or receipt	-	-	-			
	tag_s	1	1	n/a	1E-13	tax : agriculture : simulated	-	-	-	-	agricultural tax	-	-	-	-	-	-	-	-	-			
	tbs_s	1	1	n/a	1E-13	tax : business tax : simulated	-	-	-	simplified business tax (egyszer?s�tett v�llalkoz�i ad�)	-	-	-	-	-	-	-	-	-	-			
	thl_s	1	1	n/a	1E-13	tax : health : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	thlmm_s	1	1	n/a	1E-13	tax : health : minimum : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	thlmx_s	1	1	n/a	1E-13	tax : health : maximum : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tin	0	1	n/a	0	tax : income tax	income tax	-	-	Income tax (Szem�lyi j�vedelem ad�)	income tax	income tax	-	Income tax [Dan z prijmu]	TAX income tax (IRPF)	-	-	-	-	-			
	tin00_s	1	1	n/a	0.0000000000001	tax : income tax : main/basic : simulated	-	-	-	-	-	-	-	Income tax final liability	-	-	personal income tax (????? ???????????)	-	-	-			
	tin_s	1	1	n/a	1E-13	tax : income tax : simulated	-	income tax (IRPEF)	income tax (tulumaks)	personal income tax (szem�lyi j�vedelemad�)	-	personal income tax	Personal Income Tax	Income tax [Dan z prijmu]	TAX final income tax liability (IRPF - cuota l�quida)	personal income tax (asmens pajam? mokestis)	-	Personal Income tax	-	-			
	tinfu_s	1	1	n/a	0.0000000000001	tax : income tax : funeral : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tingt_s	1	1	n/a	1E-13	tax : income tax : gross tax : simulated	-	-	-	-	-	-	-	gross income tax	TAX gross income tax liability (IRPF - cuota integra)	-	-	-	-	-			
	tingtit_s	1	1	n/a	1E-13	tax : income tax : gross tax : individual taxation : simulated	-	-	-	-	-	-	-	"gross income tax, individual taxation"	"TAX gross income tax liability, individual taxation (IRPF - cuota integra, declaracion individual)"	-	-	-	-	-			
	tingtjt_s	1	1	n/a	1E-13	tax : income tax : gross tax : joint taxation : simulated	-	-	-	-	-	-	-	"gross income tax, joint taxation"	"TAX gross income tax liability, joint taxation (IRPF - cuota integra, declaracion conjunta)"	-	-	-	-	-			
	tinit_s	1	1	n/a	1E-13	tax : income tax : individual taxation : simulated	-	-	-	-	-	-	-	-	"TAX final income tax liability, individual taxation (IRPF - cuota l�quida, declaracion individual)"	-	-	-	-	-			
	tiniy_s	1	1	n/a	1E-13	tax : income tax : investment income : simulated	-	-	-	tax on income raised by right of dividends	-	-	-	-	TAX income tax on savings (IRPF sobre rentas del capital)	-	-	-	-	-			
	tinjt_s	1	1	n/a	1E-13	tax : income tax : joint taxation : simulated	-	-	-	-	-	-	-	-	"TAX final income tax liability, joint taxation (IRPF - cuota l�quida, declaracion conjunta)"	-	-	-	-	-			
	tinkt_s	1	1	n/a	1E-13	tax : income tax : capital taxation : simulated	tax on investment income	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tinktbd_s	1	1	n/a	1E-13	tax : income tax : capital taxation : bonds : simulated	-	Tax on other bonds	-	-	-	-	-	-	-	-	-	-	-	-			
	tinktcp_s	1	1	n/a	1E-13	tax : income tax : capital taxation : complementary pension : simulated	-	Tax on private pensions	-	-	-	-	-	-	-	-	-	-	-	-			
	tinktdt_s	1	1	n/a	1E-13	tax : income tax : capital taxation : deposit interests : simulated	-	Tax on deposits	-	-	-	-	-	-	-	-	interest income tax (????? ??? ????? ??????????)	-	-	-			
	tinktdv_s	1	1	n/a	1E-13	tax : income tax : capital taxation : dividends : simulated	-	Tax on dividends	-	-	-	-	-	-	-	-	-	-	-	-			
	tinktgb_s	1	1	n/a	1E-13	tax : income tax : capital taxation : government bonds : simulated	-	Tax on government bonds	-	-	-	-	-	-	-	-	-	-	-	-			
	tinmu_s	1	1	n/a	1E-13	tax : income tax : municipal government : simulated	municipal income tax	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tinna	0	1	n/a	0	tax : income tax : national government	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tinna_s	1	1	n/a	1E-13	tax : income tax : national government : simulated	national income tax	National Income Tax	-	-	-	-	-	-	-	-	-	-	-	-			
	tinpe_s	1	1	n/a	1E-13	tax : income tax : pensioner : simulated	-	-	-	-	-	-	-	-	-	-	pensioners' solidarity contributions	-	-	-			
	tinpx_s	1	1	n/a	1E-13	tax : income tax : proportional amount : simulated	-	-	-	-	-	-	-	Separate tax scheme tax liability	-	-	-	-	-	-			
	tinrf_s	1	1	n/a	1E-13	tax : income tax : refund : simulated	-	-	-	-	-	-	-	Income tax bonus	-	-	-	-	-	-			
	tinrg_s	1	1	n/a	1E-13	tax : income tax : regional government : simulated	-	Regional Income Tax	-	-	-	-	-	-	-	-	-	-	-	-			
	tinrt_s	1	1	n/a	0.0000000000001	tax : income tax : rent : simulated	-	-	-	-	-	-	-	-	-	-	additional tax on rental income	-	-	-			
	tinta01_s	1	1	n/a	0.0000000000001	tax : income tax : tax allowance : main/basic : simulated	-	Personal Tax allowance	-	-	-	-	-	-	-	-	-	-	-	-			
	tinta_s	1	1	n/a	1E-13	tax : income tax : tax allowance : simulated	-	-	total income tax allowance	-	-	total tax allowances	-	-	-	total tax allowance	-	-	-	-			
	tinta00_s	1	1	n/a	1E-13	tax : income tax : tax allowance : main/basic : simulated	-	Personal Tax allowance	-	-	-	-	-	Personal exemption	TAX Personal Tax Allowance (Minimo Personal)	-	0% tax bracket	-	-	-			
	tintaag_s	1	1	n/a	1E-13	tax : income tax : tax allowance : agriculture : simulated	-	-	tax allowance on income from agriculture	-	-	-	-	-	-	-	-	-	-	-			
	tintacd_s	1	1	n/a	1E-13	tax : income tax : tax allowance : charitable donations : simulated	-	-	-	-	-	-	-	Gifts to charitable organisations exemption	-	-	-	-	-	-			
	tintace_s	1	1	n/a	1E-13	tax : income tax : tax allowance : cost of earnings : simulated	deduction professional expenses	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintach_s	1	1	n/a	1E-13	tax : income tax : tax allowance : child : simulated	-	-	-	-	-	-	-	-	TAX Family Tax Allowance for Children (M�nimo Familiar por Hijos)	-	child tax allowance	-	-	-			
	tintadb_s	1	1	n/a	0.0000000000001	tax : income tax : tax allowance : disabled : simulated	-	-	-	-	-	-	-	disability exemption	-	-	disabled tax allowance	-	-	-			
	tintadp_s	1	1	n/a	1E-13	tax : income tax : tax allowance : dependent parent : simulated	-	-	-	-	-	-	-	-	TAX Family Tax Allowance for Dependent Parents (M�nimo Familiar por Ascendiente) 	-	-	-	-	-			
	tintadt_s	1	1	n/a	1E-13	tax : income tax : tax allowance : deposit interests : simulated	tax allowance on interest from savings account	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintadx_s	1	1	n/a	1E-13	tax : income tax : tax allowance : disability expenses : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintaee_s	1	1	n/a	1E-13	tax : income tax : tax allowance : employee : simulated	-	-	-	-	-	-	-	-	"TAX Employment Income Tax Allowance  (Reducciones por circunstancias laborales, Por rendimientos del trabajo)  "	-	-	-	-	-			
	tintahm_s	1	1	n/a	1E-13	tax : income tax : tax allowance : home owner : simulated	tax allowance for imputed rent (cadastral income)	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintaht_s	1	1	n/a	0.0000000000001	tax : income tax : tax allowance : heating expenses : simulated	-	-	-	-	-	-	-	-	-	-	tax allowance for new heating systems	-	-	-			
	tintaie_s	1	1	n/a	1E-13	tax : income tax : tax allowance : internet expenses : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintalf_s	1	1	n/a	1E-13	tax : income tax : tax allowance : life insurance : simulated	-	-	-	-	-	-	-	Private life insurance exemption	-	-	-	-	-	-			
	tintals_s	1	1	n/a	0.0000000000001	tax : income tax : tax allowance : loss : simulated	Transfer of losses between spouses	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintami_s	1	1	n/a	1E-13	tax : income tax : tax allowance : mortgage interest : simulated	-	-	-	-	-	-	-	Interest for mortgage repayment exemption	-	-	mortgage interest tax allowance	-	-	-			
	tintaox	0	1	n/a	0	tax : income tax : tax allowance : other expenses	-	-	-	-	-	deductible selected expenses	-	-	-	-	-	-	-	-			
	tintaox_s	1	1	n/a	1E-13	tax : income tax : tax allowance : other expenses : simulated	-	Deductible amount - other expenses (Altri oneri deducibili)	-	-	-	-	-	-	-	-	-	-	-	-			
	tintape_s	1	1	n/a	0.0000000000001	tax : income tax : tax allowance : pensioner : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintapv_s	1	1	n/a	0.0000000000001	tax : income tax : tax allowance : private contributions : simulated	-	Deductible amount of private pension contributions	-	-	-	-	-	Complementary pension insurance with state support exemption	-	-	private pension contributions tax allowance	-	-	-			
	tintasp_s	1	1	n/a	1E-13	tax : income tax : tax allowance : spouse : simulated	income transfer between spouses	-	-	-	-	-	-	spouse exemption	-	-	-	-	-	-			
	tintast_s	1	1	n/a	1E-13	tax : income tax : tax allowance : student : simulated	-	-	-	-	-	-	-	student exemption	-	-	-	-	-	-			
	tintatb_s	1	1	n/a	1E-13	tax : income tax : tax allowance : tax base : simulated	tax base to calculate income tax credit on basic allowance	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintatc_s	1	1	n/a	1E-13	tax : income tax : tax allowance : tax credit : simulated	tax credits resulting from basic allowance	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintauf_s	1	1	n/a	1E-13	tax : income tax : tax allowance : labour union fee : simulated	-	-	-	-	-	-	-	 Labour union fees exemption	-	-	-	-	-	-			
	tintawh_s	1	1	n/a	1E-13	tax : income tax : tax allowance : withholding : simulated	-	-	withholding income tax allowance	-	-	-	-	-	-	total withholding tax allowance	-	-	-	-			
	tintb_s	1	1	n/a	1E-13	tax : income tax : tax base : simulated	-	-	-	-	-	-	-	Tax base	TAX Tax base (base imponible)	-	tax base	-	-	-			
	tintbit_s	1	1	n/a	1E-13	tax : income tax : tax base : individual taxation : simulated	-	-	-	-	-	-	-	-	"TAX Tax base, individual taxation (base imponible, declaracion individual)"	-	-	-	-	-			
	tintbjt_s	1	1	n/a	1E-13	tax : income tax : tax base : joint taxation : simulated	-	-	-	-	-	-	-	"Taxable income, joint taxation"	"TAX Tax base, joint taxation (base imponible, declaracion conjunta)"	-	-	-	-	-			
	tintbrt_s	1	1	n/a	1E-13	tax : income tax : tax base : rent : simulated	-	Taxable rental income	-	-	-	-	-	-	-	-	-	-	-	-			
	tintc_s	1	1	n/a	1E-13	tax : income tax : tax credit : simulated	-	Personal Tax credit for income source	-	sum of all taxcredits	-	total tax credits	-	-	-	tax deduction due to expenses	total non-refundable tax credits	-	-	-			
	tintc00_s	1	1	n/a	1E-13	tax : income tax : tax credit : main/basic : simulated	-	-	-	-	-	-	-	Personal exemption	-	-	-	-	-	-			
	tintc01_s	1	1	n/a	1E-13	tax : income tax : tax credit : 01 : simulated	-	Tax credit for building and refurbishing costs	-	-	-	-	-	-	-	-	-	-	-	-			
	tintcbarg_s	1	1	n/a	1E-13	tax : income tax : tax credit : birth/adoption : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for birth/adoption (deduccion regional de cuota por nacimiento/adopcion)	-	-	-	-	-			
	tintcccrg_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : child care expenditure : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for child care (deduccion regional de cuota por guarderias)	-	-	-	-	-			
	tintcch_s	1	1	n/a	1E-13	tax : income tax : tax credit : child : simulated	-	Tax credit for dependent children	-	-	-	-	-	-	-	-	-	-	-	-			
	tintcchrg_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : child : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for children (deduccion autonomica de cuota por descendientes)	-	-	-	-	-			
	tintcdb_s	1	1	n/a	1E-13	tax : income tax : tax credit : disabled : simulated	-	-	-	-	-	-	-	disability exemption	-	-	-	-	-	-			
	tintcdbrg_s	1	1	n/a	1E-13	tax : income tax : tax credit : disabled : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for disability (deduccion regional de cuota por incapacidad)	-	-	-	-	-			
	tintcdp_s	1	1	n/a	1E-13	tax : income tax : tax credit : dependent parent : simulated	-	Tax credit for dependent parent(s)	-	-	-	-	-	-	-	-	-	-	-	-			
	tintcdprg_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : dependent parent : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for dependent parents (deduccion autonomica de cuota por ascendiente dependiente)	-	-	-	-	-			
	tintcee_s	1	1	n/a	1E-13	tax : income tax : tax credit : employee : simulated	-	Personal Tax credit for employment income	-	-	-	-	-	-	-	-	-	-	-	-			
	tintceerg_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : employee : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for employment (deduccion autonomica de cuota por trabajo)	-	-	-	-	-			
	tintcfarg_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : family : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for families (deduccion autonomica de cuota por familias)	-	-	-	-	-			
	tintchkrg_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : housework : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for housework (deduccion autonomica de cuota por cuidado del hogar)	-	-	-	-	-			
	tintchl_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : health : simulated	-	-	-	-	-	-	-	-	-	-	medical expenses tax credit	-	-	-			
	tintcit_s	1	1	n/a	1E-13	tax : income tax : tax credit : individual taxation : simulated	-	-	-	-	-	-	-	-	"TAX income tax credit, individual taxation (deduccion de cuota, declaracion individual)"	-	-	-	-	-			
	tintcjt_s	1	1	n/a	1E-13	tax : income tax : tax credit : joint taxation : simulated	-	-	-	-	-	-	-	-	"TAX income tax credit, joint taxation (deduccion de cuota, declaracion conjunta)"	-	-	-	-	-			
	tintclgrg_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : large family : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for large families (deduccion autonomica de cuota por familia numerosa)	-	-	-	-	-			
	tintclp_s	1	1	n/a	1E-13	tax : income tax : tax credit : lone parent : simulated	-	Tax credit for lone parent (additional component)	-	-	-	-	-	-	-	-	-	-	-	-			
	tintclprg_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : lone parent : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for lone parents (deduccion autonomica de cuota por familia monoparental)	-	-	-	-	-			
	tintcly_s	1	1	n/a	1E-13	tax : income tax : tax credit : low pay/income : simulated	tax credit for low activity income	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintcmg_s	1	1	n/a	1E-13	tax : income tax : tax credit : mortgage : simulated	-	-	-	-	-	-	-	-	TAX Mortgage tax credit (Deducci�n por inversi�n en vivienda habitual: Adquisici�n o rehabilitaci�n de la vivienda habitual)	-	-	-	-	-			
	tintcmi_s	1	1	n/a	1E-13	tax : income tax : tax credit : mortgage interest : simulated	-	Tax credit for mortgage interest payment	-	-	-	-	-	-	-	-	mortgage interest tax credit	-	-	-			
	tintcmp_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : maintenance payments : simulated	-	-	-	-	-	-	-	-	-	-	maintenance payment tax credit	-	-	-			
	tintcoarg_s	1	1	n/a	1E-13	tax : income tax : tax credit : old age : regional government : simulated	-	-	-	-	-	-	-	-	TAX Regional old-age tax credit (deduccion autonomica de cuota por vejez)	-	-	-	-	-			
	tintcot_s	1	1	n/a	1E-13	tax : income tax : tax credit : other : simulated	-	-	-	-	-	-	-	-	TAX 400 euro annual tax credit (Deducci�n de 400 euros anuales)	-	-	-	-	-			
	tintcox_s	1	1	n/a	1E-13	tax : income tax : tax credit : other expenses : simulated	-	Tax credit for other expenses	-	-	-	-	-	-	-	-	-	-	-	-			
	tintcpe_s	1	1	n/a	1E-13	tax : income tax : tax credit : pensioner : simulated	-	Personal Tax credit for pension income	-	-	-	-	-	-	-	-	-	-	-	-			
	tintcrg_s	1	1	n/a	1E-13	tax : income tax : tax credit : regional government : simulated	regional tax credit	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintcri_s	1	1	n/a	1E-13	tax : income tax : tax credit : replacement income : simulated	tax credit for replacement income	-	-	-	-	-	-	-	-	-	-	-	-	-			
	tintcrt_s	1	1	n/a	1E-13	tax : income tax : tax credit : rent : simulated	-	-	-	-	-	-	-	-	TAX Main residence rent tax credit (Deducci�n por alquiler de vivienda habitual)	-	rent tax credit	-	-	-			
	tintcrtrg_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : rent : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for rent (deduccion autonomica de cuota por alquiler)	-	-	-	-	-			
	tintcse_s	1	1	n/a	1E-13	tax : income tax : tax credit : self-employed : simulated	-	Personal Tax credit for self-employment income	-	-	-	-	-	-	-	-	-	-	-	-			
	tintcsp_s	1	1	n/a	1E-13	tax : income tax : tax credit : spouse : simulated	-	Tax credit for dependent spouse	-	-	-	-	-	spouse exemption	-	-	-	-	-	-			
	tintcst_s	1	1	n/a	1E-13	tax : income tax : tax credit : student : simulated	-	-	-	-	-	-	-	student exemption	-	-	-	-	-	-			
	tintctu_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : tuition : simulated	-	-	-	-	-	-	-	-	-	-	education expenses tax credit	-	-	-			
	tintcwmrg_s	1	1	n/a	0.0000000000001	tax : income tax : tax credit : working mother : regional government : simulated	-	-	-	-	-	-	-	-	TAX regional tax credit for working mother (deduccion autonomica de cuota por madre trabajadora)	-	-	-	-	-			
	tintp_s	1	0	n/a	1E-13	tax : income tax : type : simulated	-	-	-	-	"income tax, type of taxation (ind or joint)"	-	-	type of taxation	-	-	-	-	-	-			
	tintrch_s	1	1	n/a	1E-13	tax : income tax : refund tax credit : child : simulated	-	-	-	-	-	-	-	Refundable child tax credit	TAX Working mother tax credit	-	-	-	-	-			
	tints_s	1	1	n/a	1E-13	tax : income tax : schedule : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
