ACRONYMS	Type		Level	Acronym	Description	Categorical	Categories																																																																																																																																																																																																																																																								
	sys_typelong	sys_typeshort	sys_levname	sys_acro	sys_desc	sys_categ	sys_first_categ																																																																																																																																																																																																																																																								
				MR	Marginal rate	0																																																																																																																																																																																																																																																									
				NK	Non Capital	0																																																																																																																																																																																																																																																									
				QT	Quotient	0																																																																																																																																																																																																																																																									
				RA	Rate	0																																																																																																																																																																																																																																																									
				TA	Tax Allowance	0																																																																																																																																																																																																																																																									
				TB	Tax Base	0																																																																																																																																																																																																																																																									
				TC	Tax Credit	0																																																																																																																																																																																																																																																									
				TF	Transfer	0																																																																																																																																																																																																																																																									
				TR	Refund Tax Credit	0																																																																																																																																																																																																																																																									
				TS	Schedule	0																																																																																																																																																																																																																																																									
				TY	Taxable Income	0																																																																																																																																																																																																																																																									
				WH	Withholding	0																																																																																																																																																																																																																																																									
				XT	Extra tax charge	0																																																																																																																																																																																																																																																									
				GT	Gross tax	0																																																																																																																																																																																																																																																									
				CT	Credited Contributions	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Activity Status																																																																																																																																																																																																																																																												
				DB	Disabled	0																																																																																																																																																																																																																																																									
				EE	Employee	0																																																																																																																																																																																																																																																									
				MA	On maternity leave	0																																																																																																																																																																																																																																																									
				ER	Employer	0																																																																																																																																																																																																																																																									
				FT	Full time	0																																																																																																																																																																																																																																																									
				PE	Pensioner	0																																																																																																																																																																																																																																																									
				SE	Self-Employed	0																																																																																																																																																																																																																																																									
				SL	Sailor	0																																																																																																																																																																																																																																																									
				ST	Student	0																																																																																																																																																																																																																																																									
				UN	Unemployed	0																																																																																																																																																																																																																																																									
				FR	Farmer	0																																																																																																																																																																																																																																																									
				ED	Educational leave	0																																																																																																																																																																																																																																																									
				BE	On benefit	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Protection																																																																																																																																																																																																																																																												
				CI	Care Insurance	0																																																																																																																																																																																																																																																									
				CP	Complementary pension	0																																																																																																																																																																																																																																																									
				DC	Daycare	0																																																																																																																																																																																																																																																									
				DI	Disability insurance	0																																																																																																																																																																																																																																																									
				YR	Early Retirement	0																																																																																																																																																																																																																																																									
				FA	Family	0																																																																																																																																																																																																																																																									
				HL	Health	0																																																																																																																																																																																																																																																									
				AC	Accident	0																																																																																																																																																																																																																																																									
				HC	Home Carer	0																																																																																																																																																																																																																																																									
				EI	Employer Insolvency	0																																																																																																																																																																																																																																																									
				HO	Housing	0																																																																																																																																																																																																																																																									
				PI	Pension insurance	0																																																																																																																																																																																																																																																									
				SF	Salary protection fund	0																																																																																																																																																																																																																																																									
				UI	Unemployment insurance	0																																																																																																																																																																																																																																																									
				ML	Maternity leave insurance	0																																																																																																																																																																																																																																																									
				HE	Holiday earnings	0																																																																																																																																																																																																																																																									
				IR	Integration/(re)employment	0																																																																																																																																																																																																																																																									
				FU	Funeral	0																																																																																																																																																																																																																																																									
				SI	Sickness	0																																																																																																																																																																																																																																																									
			Work Related																																																																																																																																																																																																																																																												
				AG	Agriculture	0																																																																																																																																																																																																																																																									
				AJ	Additional Jobs	0																																																																																																																																																																																																																																																									
				AP	Apprentice	0																																																																																																																																																																																																																																																									
				BC	Blue Collar	0																																																																																																																																																																																																																																																									
				CL	Class	0																																																																																																																																																																																																																																																									
				EC	Executive	0																																																																																																																																																																																																																																																									
				PB	Public Sector	0																																																																																																																																																																																																																																																									
				PF	Professional	0																																																																																																																																																																																																																																																									
				PJ	Permanent Job	0																																																																																																																																																																																																																																																									
				PS	Private Sector	0																																																																																																																																																																																																																																																									
				PT	Part Time	0																																																																																																																																																																																																																																																									
				TJ	Temporary job	0																																																																																																																																																																																																																																																									
				VO	Voluntary	0																																																																																																																																																																																																																																																									
				WC	White Collar	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Housing																																																																																																																																																																																																																																																												
				HD	Housing Debt	0																																																																																																																																																																																																																																																									
				HM	Home Owner	0																																																																																																																																																																																																																																																									
				MG	Mortgage	0																																																																																																																																																																																																																																																									
				MI	Mortgage Interest	0																																																																																																																																																																																																																																																									
				RT	Rent	0																																																																																																																																																																																																																																																									
				RH	Retirement home	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Personal/Family Characteristics																																																																																																																																																																																																																																																												
				AR	Age related	0																																																																																																																																																																																																																																																									
				CH	Child	0																																																																																																																																																																																																																																																									
				DP	Dependent Parent	0																																																																																																																																																																																																																																																									
				DS	Deserted Spouse	0																																																																																																																																																																																																																																																									
				LP	Lone Parent	0																																																																																																																																																																																																																																																									
				MC	Married Couple	0																																																																																																																																																																																																																																																									
				OA	Old Age	0																																																																																																																																																																																																																																																									
				OR	Other relatives	0																																																																																																																																																																																																																																																									
				SK	School Children	0																																																																																																																																																																																																																																																									
				SP	Spouse	0																																																																																																																																																																																																																																																									
				SW	Single Earner	0																																																																																																																																																																																																																																																									
				WD	Widow	0																																																																																																																																																																																																																																																									
				WM	Working Mother	0																																																																																																																																																																																																																																																									
				WP	Working Couple	0																																																																																																																																																																																																																																																									
				BA	Birth/Adoption	0																																																																																																																																																																																																																																																									
				LG	Large Family	1	1: yes	0: no																																																																																																																																																																																																																																																							
				HK	Housework	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Expenses/Expenditure																																																																																																																																																																																																																																																												
				AM	Alimony	0																																																																																																																																																																																																																																																									
				CC	Child Care Expenditure	0																																																																																																																																																																																																																																																									
				CD	Charitable Donations	0																																																																																																																																																																																																																																																									
				CE	Cost of Earnings	0																																																																																																																																																																																																																																																									
				CO	Commuting	0																																																																																																																																																																																																																																																									
				IE	Internet expenses	0																																																																																																																																																																																																																																																									
				IP	Insurance Premium	0																																																																																																																																																																																																																																																									
				MP	Maintenance Payments	0																																																																																																																																																																																																																																																									
				ME	Medical Expenses	0																																																																																																																																																																																																																																																									
				DX	Disability expenses	0																																																																																																																																																																																																																																																									
				OX	Other Expenses	0																																																																																																																																																																																																																																																									
				PV	Private contributions	0																																																																																																																																																																																																																																																									
				TE	Travel Expenses	0																																																																																																																																																																																																																																																									
				TU	Tuition	0																																																																																																																																																																																																																																																									
				XP	Expenditure	0																																																																																																																																																																																																																																																									
				LF	Life insurance	0																																																																																																																																																																																																																																																									
				UF	Labour union fee	0																																																																																																																																																																																																																																																									
				HT	Heating expenses	0																																																																																																																																																																																																																																																									
				HI	Health Insurance	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Income Related																																																																																																																																																																																																																																																												
				BD	Bonds	0																																																																																																																																																																																																																																																									
				BY	Benefit income	0																																																																																																																																																																																																																																																									
				DF	Deficit	0																																																																																																																																																																																																																																																									
				DT	Deposit interests	0																																																																																																																																																																																																																																																									
				DV	Dividends	0																																																																																																																																																																																																																																																									
				GB	Government Bonds	0																																																																																																																																																																																																																																																									
				KR	Bankruptcy	0																																																																																																																																																																																																																																																									
				IY	Investment income	0																																																																																																																																																																																																																																																									
				LS	Loss	0																																																																																																																																																																																																																																																									
				LY	Low Pay/Income	0																																																																																																																																																																																																																																																									
				NG	Negative income	0																																																																																																																																																																																																																																																									
				OY	Other incomes	0																																																																																																																																																																																																																																																									
				RI	Replacement Income	0																																																																																																																																																																																																																																																									
				SV	Severance Pay	0																																																																																																																																																																																																																																																									
				XE	Extra earnings	0																																																																																																																																																																																																																																																									
				IV	Imputed value	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Assets																																																																																																																																																																																																																																																												
				AS	Assets	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Tax Characteristics																																																																																																																																																																																																																																																												
				BT	Bottom	0																																																																																																																																																																																																																																																									
				CQ	Constant Quantity Assumption	0																																																																																																																																																																																																																																																									
				CX	Constant Expenditure Assumption	0																																																																																																																																																																																																																																																									
				FX	Fixed Amount	0																																																																																																																																																																																																																																																									
				GR	Gross	0																																																																																																																																																																																																																																																									
				IT	Individual taxation	0																																																																																																																																																																																																																																																									
				JT	Joint Taxation	0																																																																																																																																																																																																																																																									
				LM	Limit/ed	0																																																																																																																																																																																																																																																									
				MD	Middle	0																																																																																																																																																																																																																																																									
				MM	Minimum	0																																																																																																																																																																																																																																																									
				NE	Net	0																																																																																																																																																																																																																																																									
				NT	Negative tax	0																																																																																																																																																																																																																																																									
				PX	Proportional amount	0																																																																																																																																																																																																																																																									
				RD	Reduction	0																																																																																																																																																																																																																																																									
				RF	Refund	0																																																																																																																																																																																																																																																									
				SA	Self Assessment	0																																																																																																																																																																																																																																																									
				TO	Top	0																																																																																																																																																																																																																																																									
				TP	Type	1	"01 TAX Self employment taxation: joint business and entrepreneurs,"	02 TAX Self employment taxation: EVA payers	11 SIC permanent contract	12 SIC temporary contract	13 SIC farmer	21 TAX Income tax individual taxation	22 TAX Income tax joint taxation																																																																																																																																																																																																																																																		
				MX	Maximum	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Tax Authority																																																																																																																																																																																																																																																												
				CR	Church tax	0																																																																																																																																																																																																																																																									
				MU	Municipal Government	0																																																																																																																																																																																																																																																									
				NA	National Government	0																																																																																																																																																																																																																																																									
				RG	Regional Government	0																																																																																																																																																																																																																																																									
				GV	State/Government	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Time/Period																																																																																																																																																																																																																																																												
