VARIABLES	"Variable
Name"	Model Generated	Monetary	Default Variable	"Default
Value"	"Automatic
Label"																												
	ddt	0	0	n/a	0	demographic : date of interview	date of interview	-	-	date of interview	date of interview	date of interview	-	Quarter of interview (datum vysetreni)	data of interview (fecha de entrevista)	data of interview (fecha de entrevista)	data of interview (fecha de entrevista)	data of interview	-	-	-	-	-	-	-	-	-	data of interview (data da entrevista)	-	date of interview	date of interview	-	-	
	dec	0	0	n/a	0	demographic : education - current status	education - current status	-	education - current status	current level of education	current level of education	current level of education	Current level of Education	Current education level (stavajici vzdelavaci stupen)	level of current education (nivel de educacion actual)	current level of education	current level of education	current level of education	-	-	-	-	-	-	-	-	-	level of current education (nivel de ensino que actualmenta frequenta)	-	education - current status	education - current status	-	-	
	deh	0	0	n/a	0	demographic : education - highest status	education - highest status	-	education - highest status	highest level of education achieved	highest level of education achieved	highest level of education achieved	-	Highest Education achieved (nejvyssi dosazeny stupen vzdelani)	level of highest education (nivel de educacion más alto ya obtenido)	highest level of education achieved	highest level of education achieved	highest level of education	-	-	-	-	-	-	-	-	-	level of highest education (grau de ensino mais elevado obtido)	-	education - highest status	education - highest status	-	-	
	dew	0	0	n/a	0	demographic : education - when achieved highest status	Education: when achieved highest status	-	-	Education: when achieved highest status	rok uzyskania obecnego wykszta?cenia	year when highest level of education was attained	-	Year when highest level of education was attained (Rok dosazeni nejvyssiho stupne vzdelani)	year achieved highest education level (año de obtención de nivel más alto de educacion)	year achieved highest education level	year achieved highest education level (año de obtención de nivel más alto de educacion)	year achieved highest level of education	-	-	-	-	-	-	-	-	-	year achieved highest education level (ano em que obteve o grau de ensino mais elevado)	-	Education: when achieved highest status	Education: when achieved highest status	-	-	
	dey	0	0	n/a	0	demographic : education - number of years	Education: number of years 	-	number of years in education	Education: number of years 	liczba lat nauki	number of years spent in education	-	Number of years spent in education (pocet let skoly)	number of years in education (numero de años en educacion)	number of years in education	number of years in education	number of years in education	-	-	-	-	-	-	-	-	-	number of years in education (número de anos de escolariedade)	-	Education: number of years 	Education: number of years 	-	-	
	dgn	0	0	n/a	0	demographic : gender	gender	-	gender	gender	gender	gender	Gender	Gender (pohlavi)	gender (genero)	gender	gender	gender	-	-	-	-	-	-	-	-	-	gender (género)	-	gender	gender	-	-	
	dhr	0	0	n/a	0	demographic : home responsible	-	-	-	-	-	-	-	-	-	-	-	Home Responsible	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	dlg_s	1	0	n/a	1E-13	demographic : large family : simulated	-	-	-	-	-	-	-	-	Is large family (es familia numerosa?)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	dmp	0	0	n/a	0	demographic : municipality population	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	dms	0	0	n/a	0	demographic : marital status	marital status	-	marital status	marital status	marital status	marital status	Marital Status	Marital status (rodinny stav)	marital status (estado civil)	marital status	marital status	marital status	-	-	-	-	-	-	-	-	-	marital status (estado civil)	-	marital status	marital status	-	-	
	dqb	0	0	n/a	0	demographic : quarter of birth	-	-	-	-	-	-	-	-	-	quarter of birth	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	drgn1	0	0	n/a	1	demographic : region : nuts level 1	region - nuts level 1	NUTS 1 (macro aree)	region - nuts level 1	"region, NUTS1 level"	"region, NUTS1 level"	"region, NUTS1 level"	-	ID of regional level NUTS 1 (regionalni kod urovne NUTS 1)	region NUTS 1 (region NUTS1)	"region, NUTS1 level"	region NUTS 1	region NUTS 1	-	-	-	-	-	-	-	-	-	region NUTS 1 (região NUTS1)	-	region - nuts level 1	region - nuts level 1	-	-	
	drgn2	0	0	n/a	0	demographic : region : nuts level 2	-	NUTS 2 (Regioni)	-	-	region	-	-	ID of regional level NUTS 2 (regionalni kod urovne NUTS 2)	region NUTS 2 (region NUTS2)	-	region NUTS 2	-	-	-	-	-	-	-	-	-	-	region NUTS 2 (região NUTS2)	-	-	-	-	-	
	drgur	0	0	n/a	0	demographic : region : urban	-	-	-	-	-	-	-	-	-	level of urbanisation	level of urbanisation	-	-	-	-	-	-	-	-	-	-	-	-	degree of urbanization	-	-	-	
	drgur00	0	0	n/a	1E-13	demographic : region : urban : main/basic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Riga Citizenship indicator	-	-	-	
	dsu00	0	0	n/a	0	demographic : sample units : main/basic	-	-	-	-		order of selection of PSU	-	-	order of selection of PSU (unidad de muestreo)	order of selection of PSU	order of selection of PSU	-	-	-	-	-	-	-	-	-	-	order of selection of PSU (Unidade primária de amostragem)	-	order of selection of PSU (unidad de muestreo)	order of selection of PSU (unidad de muestreo)	-	-	
	dsu01	0	0	n/a	0	demographic : sample units : 01	-	-	-	-		PSU first-stage	-	-	PSU first-stage (unidad de muestreo primera etapa)	PSU 1st stage	PSU first-stage	-	-	-	-	-	-	-	-	-	-	PSU first-stage (Ordem de selecção das unidades primárias)	-	PSU first-stage	PSU first-stage	-	-	
	dsu02	0	0	n/a	0	demographic : sample units : 02	-	-	-	-		PSU second-stage	-	-	PSU second-stage (unidad de muestreo segunda etapa)	PSU 2nd stage	PSU second-stage	-	-	-	-	-	-	-	-	-	-	PSU second-stage (Unidade secundária de amostragem)	-	PSU second-stage	PSU second-stage	-	-	
	dwt	0	0	n/a	0	demographic : weight	household weight	-	household weight	weight	weight	weight	Household Weight	Household cross-sectional weight (prurezova vaha domacnosti)	weight (peso muestral)	household weight	household weight	household weight	-	-	-	-	-	-	-	-	-	weight (Ponderador transversal do agregado)	-	household weight	household weight	-	-	
	idfather	0	0	n/a	0	identifier: father	ID of father if in household otherwise 0	ID of father if in household otherwise 0	ID of father if in household otherwise 0	ID of father if in household otherwise 0	ID of father if in household otherwise 0	ID of father if in household otherwise 0	ID of father if in household otherwise 0	Father identification number (identifikacni kod otce)	identification number of father (numero de identificacion del padre)	father ID	father ID	ID of father if in household otherwise 0	father ID	-	-	-	-	-	-	-	-	identification number of father (número de identificação do pai)	-	father ID	father ID	-	-	
	idhh	0	0	n/a	0	identifier: household	Household ID	Household ID	Household ID	Household ID	Household ID	Household ID	Household ID	Household  identification number (identifikacni kod domacnosti)	identification number of household (numero de identificacion del hogar)	household ID	household ID	Household ID	household ID	-	-	-	-	-	-	-	-	identifier: household	-	household ID	household ID	-	-	
	idmother	0	0	n/a	0	identifier: mother	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	Mother identification number (identifikacni kod matky)	identification number of mother (numero de identificacion de la madre)	mother ID	mother ID	ID of mother if in household otherwise 0	mother ID	-	-	-	-	-	-	-	-	identification number of mother (número de identificação da mãe)	-	mother ID	mother ID	-	-	
	idorigbenunit	0	0	n/a	0		-	-	-	-	-	-	-	-	-	-	-	Original Benefit Unit  ID 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	idorighh	0	0	n/a	0		Original Household ID 	Original Household ID 	Original Household ID 	Original Household ID 	oryginalny identyfikator gospodarstwa	Original Household ID 	Original Household ID 	Original household identification number (puvodni identifikacni kod somacnosti)	original identification number of household (numero de identificacion original del hogar)	Original Household ID 	Original Household ID 	Original Household ID 	Original Household ID 	-	-	-	-	-	-	-	-	original identification number of household (número de identificacion original do ADP)	-	Original Household ID 	Original Household ID 	-	-	
	idorigperson	0	0	n/a	0		Original Person ID 	Original Person ID 	Original Person ID 	Original Person ID 	oryginalny identyfikator osoby	Original Person ID 	Original Person ID 	Original personal identification number (puvodni identifikacni kod osoby)	original identification number of person (numero de identificacion original de la persona)	Original Person ID 	Original Person ID 	Original Person ID 	Original Person ID 	-	-	-	-	-	-	-	-	original identification number of person (número de identificação original do indivíduo)	-	Original Person ID 	Original Person ID 	-	-	
	idparent	0	0	n/a	0	identifier: parent	"ID of mother if in household otherwise, father"	"ID of mother if in household otherwise, father"	"ID of mother if in household otherwise, father"	"ID of mother if in household otherwise, father"	-	"ID of mother if in household otherwise, father"	"ID of mother if in household otherwise, father"	-	-	-	-	"ID of mother if in household otherwise, father"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	idpartner	0	0	n/a	0	identifier: partner	ID of partner if married or cohabiting	ID of partner if married or cohabiting	ID of partner if married or cohabiting	ID of partner if married or cohabiting	ID of partner if married or cohabiting	ID of partner if married or cohabiting	ID of partner if married or cohabiting	Partner/spouse identification number (identifikacni kod partnera)	identification number of partner (numero de identificacion de la pareja)	partner ID	partner ID	ID of partner if married or cohabiting	partner ID	-	-	-	-	-	-	-	-	identification number of partner (número de identificação do cônjugue/companheiro)	-	partner ID	partner ID	-	-	
	idperson	0	0	n/a	0	identifier: person	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Personal  identification number (identifikacni kod osoby)	identification number of person (numero de identificacion de la persona)	person ID	person ID	Unique Person ID = idhh * 100 + unique number within household	person ID	-	-	-	-	-	-	-	-	identification number of person (número de identificação do indivíduo)	-	person ID	person ID	-	-	
	ked	0	1	n/a	0	in kind : education	-	-	-	-	-	-	-	-	-	-	-	Education (AIMAP)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	kfb	0	1	n/a	0	in kind : fringe benefit	fringe benefits (retribuciones en especie)	fringe benefits	-	-	in kind : fringe benefit	fringe benefits (bonitete)	-	Fringe benefits of employees (Naturalni pozitky zamestnancu)	fringe benefits (retribuciones en especie)	fringe benefits	fringe benefits	-	-	-	-	-	-	-	-	-	-	fringe benefits (rendimento não monetário do trabalho por conta de outrem)	-	fringe benefits	fringe benefits	-	-	
	kfb_s	1	1	n/a	0.0000000000001	in kind : fringe benefit : simulated	-	fringe benefits (taxable)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	kfbmy	0	0	n/a	1E-13	in kind : fringe benefit : months per year	-	-	-	-	-	no. of months receiving fringe benefits (število mesecev prejemanja bonitet)	-	Months collecting fringe benefits (pocet mesicu pobirani naturalnich pozitku zamestnancem)		-	-	-	Fringe benefits (months per year)	-	-	-	-	-	-	Fringe benefits (months per year)	-	-	-	Fringe benefits (months per year)	Fringe benefits (months per year)	-	-	
	khl	0	1	n/a	0	in kind : health	-	-	-	-	-	-	-	-	-	-	-	Health (AIMAP)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	khooo	0	1	n/a	1E-13	in kind : housing : owned-occupied	Cadastral income	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	khooo_s	1	1	n/a	1E-13	in kind : housing : owned-occupied : simulated	Cadastral income	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	kivho	0	1	n/a	0	in kind : imputed value : housing	Housing imputed value	-	-	-	in kind : imputed value : housing	-	-	Imputed rent (Odvozeny najem)	imputed income of housing (renta imputada de la vivienda)	imputed rent	imputed rent	imputed rent	-	-	-	-	-	-	-	-	-	imputed income of housing (renda imputada)	-	imputed rent	imputed rent	-	-	
	l01	0	0	n/a	1E-13	labour market : 01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1 if in military service	-	-	
	lap	0	0	n/a	0	labour market : apprentice	-	Apprentice	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lap00	0	0	n/a	0	labour market : apprentice : main/basic	-	Temporay worker (Co.co.co.)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lbl	0	0	n/a	0	labour market : business licence	-	-	-	-	-	-	-	-	-	business certificate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lcd01	0	0	n/a	0	labour market : cumulative distribution : 01	-	-	-	-	-	-	-	-	-	-	distribution of TEBE (old) contributors	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lcd02	0	0	n/a	0	labour market : cumulative distribution : 02	-	-	-	-	-	-	-	-	-	-	distribution of TEBE (new) contributors	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lcd03	0	0	n/a	0	labour market : cumulative distribution : 03	-	-	-	-	-	-	-	-	-	-	distribution of farmers	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lcd04	0	0	n/a	0	labour market : cumulative distribution : 04	-	-	-	-	-	-	-	-	-	-	distribution of TAE (old) contributors	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lcd05	0	0	n/a	0	labour market : cumulative distribution : 05	-	-	-	-	-	-	-	-	-	-	distribution of TAE (new) contributors	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lcl	0	0	n/a	0	labour market : collar	-	Collar (white - blue)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lcr	0	0	n/a	0	labour market : carer	-	-	-	-	-	-	-	-	-	-	-	carer	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lcr01	0	0	n/a	1E-13	labour market : carer : 01	-	-	-	-	-	-	-	-	-	-	-	Carer for IS purposes (0/1)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lcr02	0	0	n/a	1E-13	labour market : carer : 02	-	-	-	-	-	-	-	-	-	-	-	Carer for IS purposes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lcs	0	0	n/a	0	labour market : civil servant	civil servant	-	-	-	urz?dnik publiczny	-	-	-	0	-	civil servant	civil servant	-	-	-	-	-	-	-	-	-	Civil Servant (Funcionário Público)	-	civil servant	civil servant	-	-	
	lct	0	0	n/a	0	labour market : contract type	-	-	-	-	-	-	-	-	-	-	contracty type (permanent vs temporary)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	les	0	0	n/a	0	labour market : economic status	economic status	-	economic status	labour economic status	labour economic status	labour economic status (ekonomski položaj)	Labour Economis Status	Economic status (Ekonomicka aktivita)	economic status (situacion economica)	economic status	economic status	economic status	-	-	-	-	-	-	-	-	-	economic status (Auto-definição de condição perante o trabalho)	-	economic status	economic status	-	-	
	lfa	0	0	n/a	0	labour market : farmer	-	-	-	-	-	-	-	-	-	"1: farmer, 2: other agricultural/land worker"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lfs	0	0	n/a	0	labour market : firm size	firm size	-	-	-	wielko?? przedsi?biorstwa	firm size (velikost podjetja)	-	Firm size (pocet zamestnancu pracoviste)	firm size (tamano de empresa)	firm size	firm size	firm size	-	-	-	-	-	-	-	-	-	firm size (Número de pessoas a trabalhar no estabelecimento)	-	firm size	firm size	-	-	
	lhw	0	0	n/a	0	labour market : hours worked per week	hours worked per week	-	hours worked per week	hours worked per week	hours worked per week	hours worked per week (število opravljenih ur na teden) 	-	Hours worked per week (odpracovane hodiny tydne)	hours worked per week (horas trabajadas por semana)	hours worked per week	hours worked per week	hours worked per week	-	-	-	-	-	-	-	-	-	hours worked per week (horas trabalho semanais)	-	hours worked per week	hours worked per week	-	-	
	lhw00	0	0	n/a	0	labour market : hours worked per week : main/basic	-	-	-	-	-	-	-	-	-	-	-	Hours per week as employee	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lhw01	0	0	n/a	0	labour market : hours worked per week : 01	-	-	-	-	-	-	-	-	-	-	-	Hours worked as selfemp	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	liamy	0	0	n/a	0	labour market : inactive : months per year	-	-	-	-	-	-	-	-	-	-	-	-	-	-	no of months in inactivity	-	-	-	-	-	-	-	-	-	-	-	-	
	lim	0	0	n/a	0	labour market : insurance scheme memb	-	-	-	-	-	-	-	-	-	-	-	NICs Class	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lin	0	0	n/a	0	labour market : industry (nace)	industry	-	industry	industry	industry	industry (sektorji dejavnosti)	-	Industry code (kod odvetvi ekonomicke cinnosti)	industry (industria)	industry	industry	industry	-	-	-	-	-	-	-	-	-	industry (Actividade económica (NACE Rev. 1))	-	industry	industry	-	-	
	lindi	0	0	n/a	0	labour market : industry (nace) : detailed industry	detailed industry	-	-	-	sektor dzia?alno?ci	detailed industry (podro?je dejavnosti) 	-	Industry code detailed (kod odvetvi ekonomicke cinnosti - podrobny)	detailed industry (industria detallada)	detailed industry	detailed industry	-	-	-	-	-	-	-	-	-	-	industry (Actividade económica (NACE Rev. 1))	-	detailed industry	detailed industry	-	-	
	liwft_s	1	0	n/a	1E-13	labour market : in work : full time worker : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	liwftmy	0	0	n/a	1E-13	labour market : in work : full time worker : months per year	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Months in full time work	-	-	-	
	liwmy	0	0	n/a	0	labour market : in work : months per year	Months worked per year	Months worked per year	no. of months worked during the year	Working months per year (Munkával töltött hónapok száma az elmúlt évben)	liczba miesi?cy pracy w trakcie roku	"no. of months in work during the year(Število mesecev v letu, ko je oseba delala na delovnem mestu)"	-	Months in work per year (pocet mesicu prace v obdobi poslednich 12 mesicu)	number of months worked in the year (n. de meses trabajados en el ano)	no. of months worked during the year	no. of months worked during the year	-	-	-	-	-	-	-	-	-	-	number of months worked in the year (Número de meses de trabalho durante o ano)	-	Months worked per year	Months worked per year	-	-	
	liwmy_s	1	0	n/a	1E-13	labour market : in work : months per year : simulated	-	-	no. of months worked during the year	Working months per year simulated( currently switched off)	-	-	-	-	number of months worked in the year (n. de meses trabajados en el ano)	no. of months worked during the year	no. of months worked during the year	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	liwpwwh	0	0	n/a	0	labour market : in work : previous work : work history (length of time in months)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	liwwh	0	0	n/a	0	labour market : in work : work history (length of time in months)	no. of months worked	Number of months with SICs payed	no. of months worked total	Work history (Munkával töltött hónapok száma)	do?wiadczenie zawodowe (liczba m-c pracy)	"no. of months in work (skupno število mesecev, ko je oseba delala, do trenutka anketiranja)"	-	Number of months in work (pocet odpracovanych mesicu)	number of months worked (n. de meses trabajados)	no. of months worked total	no. of months worked total	no. of months worked	-	-	-	-	-	-	-	-	-	number of months worked (númjero de meses com trabalho)	-	no. of months worked	no. of months worked	-	-	
	liwwh_s	1	0	n/a	1E-13	labour market : in work : work history (length of time in months) : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Simulate working history	-	-	
	lle	0	0	n/a	0	labour market : on leave	-	-	-	-	-	-	-	-	-	-	-	on leave	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	loc	0	0	n/a	3	labour market : occupation (isco 1-digit)	occupation	-	occupation	occupation	occupation	occupation (poklic)	-	Occupationl code (kod zamestnani)	occupation (ocupacion)	occupation	occupation	occupation	-	-	-	-	-	-	-	-	-	occupation (Profissão (ISCO-88))	-	occupation	occupation	-	-	
	lochz	0	0	n/a	0	labour market : occupation (isco 1-digit) : hazardous work?	-	-	-	-	-	-	-	-	-	-	hard and arduous occupations	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lowas	0	0	n/a	0	labour market : out of work : actively seeking	actively looking for work	-	-	-	aktywne poszukiwanie pracy	actively looking for work (Aktivno iskanje zaposlitve)	-	-	actively looking for work (buscando trabajo)	actively looking for work	actively looking for work	actively looking for work	-	-	-	-	-	-	-	-	-	actively looking for work (efectuou diligências para procurar trabalho)	-	actively looking for work	actively looking for work	-	-	
	lpb	0	0	n/a	0	labour market : public sector	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lpemy	0	0	n/a	0	labour market : pensioner : months per year	Months retired per year	Months retired per year	-	-	liczba miesi?cy otrzymywanie emerytury	"no. of months in retirement during the year (število mesecev v letu, ko je bila oseba upokojena)"	-	Number of months as a pensioner during last 12 months (pocet mesicu v duchodu za poslednich 12 mesicu)	number of months as pensioner in the year (numero de meses como pensionista en el año)	no. of months in retirement during the year	no. of months in retirement during the year	-	-	-	-	-	-	-	-	-	-	number of months as pensioner in the year (Número de meses reformado)	-	Months retired per year	Months retired per year	-	-	
	lpf	0	0	n/a	0	labour market : professional	-	Professional	-	-	???	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lpm	0	0	n/a	0	labour market : pension membership	-	-	funded pension membership (2nd pillar)	-	???	-	-	-		-	pension membership (old vs new)	pension membership	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lpmfc	0	0	n/a	0	labour market : pension membership : sic fund (contributing to)	-	-	-	-	-	-	-	-	-	-	employees' social insurance fund	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lpmfr	0	0	n/a	0	labour market : pension membership : sic fund (receiving from)	-	-	-	-	-	-	-	-	-	-	pensioners' social insurance fund	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lsdmy	0	0	n/a	0	labour market : student : months per year	-	-	-	-	-	-	-	Months in student status during last 12 months (pocet mesicu statutu studenta behem poslednich 12 mesicu)	-	-	-	-	-	-	no of months studying	-	-	-	-	-	-	-	-	-	-	-	-	
	lse	0	0	n/a	0	labour market : self employed	self-employed status	-	self-employed status	-	pracuj?cy na w?asny rachunek	self employment status (status samozaposlenih)	-	Self employment status (statut podnikatele)	type of self employed: with or w/o employees (tipo de trabajador por cuenta propia: con o sin empleados)	self-employment type	self-employment type	-	-	-	-	-	-	-	-	-	-	type of self employed: with or w/o employees (tipo de trabalhador por conta propria: com ou sem empregados)	-	self-employed status	self-employed status	-	-	
	lse00	0	0	n/a	0	labour market : self employed : main/basic	-	Occupation of self employed	-	EVA payers	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lse_s	1	0	n/a	1E-13	labour market : self employed : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Self employment income not zero	-	
	lseor	0	0	n/a	0	labour market : self employed : owner (of individual enterprise)	-	-	-	-	-	-	-	-	-	owner of individual enterprise	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lsepf	0	0	n/a	0	labour market : self employed : professional	-	-	-	-	-	"self-employed professional (yes, no)"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lserg	0	0	n/a	0	labour market : self employed : registered	-	-	registered self-employed	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lunmy	0	0	n/a	0	labour market : unemployed : months per year	Months unemployed per year	Months unemployed per year	no of months in unemployment during the year	Unemployed : Months per year (Munkanélküliként töltött hónapok száma az elmúlt évben)	liczba miesi?cy bezrobocia (czy otrzymywania zasi?ku ?)	"no. of months in unemployment (število mesecev v letu, ko je bila oseba brezposelna)"	-	Months unemployed during last 12 months (pocet mesicu statutu nezamestnaneho behem poslednich 12 mesicu)	number of months as in unemployment in the year (numero de meses desempleado en el año)	no of months in unemployment during the year	no of months in unemployment during the year	-	-	-	-	-	-	-	-	-	-	number of months as in unemployemt in the year (Número de meses no desemprego)	-	Months unemployed per year	Months unemployed per year	-	-	
	lunmy_s	1	0	n/a	1E-13	labour market : unemployed : months per year : simulated	-	-	no of months in unemployment during the year	unemployment months per year simulated (currently switched off)	-	-	-	-	number of months as in unemployment in the year (numero de meses desempleado en el año)	no of months in unemployment during the year	no of months in unemployment during the year	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	lyrmy	0	0	n/a	0.0000000000001	labour market : early retired : months per year	Months early retired per year	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	pdi	0	1	n/a	0	pension : disability	Permanent disability benefits	Disability pension (non taxable)	disability pension (invaliidsuspension)	disability benefits (rokkantsági támogatások)	pension : disability	disability pension (invalidska pokojnina)	-	Disability pension (Plny a castecny invalidni duchod). 	PEN disability benefit (prestacion por invalidez)	-	disability pension	-	-	-	-	-	-	-	-	-	-	disability benefit (pensão de invalidez)	-	disability pension 	disability pension 	-	-	
	pdi00	0	1	n/a	0	pension : disability : main/basic	-	-	-	-	disability insurance pension	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	pdi_s	1	1	n/a	1E-13	pension : disability : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	invalidity pension	-	-	-	-	-	-	-	-	-	-	-	-	
	pdimy	0	0	n/a	0	pension : disability : months per year	-	-	-	-	liczba miesi?cy otrzymywania renty z tytu?u niezdolnosci do pracy	no. of months receiving disability pension (število mesecev prejemanja invalidske pokojnine)	-	Months during last 12 months collecting dissability pension (pocet mesicu v poslednich 12 mesicich kdy byl pobiran Plny castecny invalidni duchod)		-	-	-	Disability benefit (months per year)	-	-	-	-	-	-	Disability benefit (months per year)	-	-	-	no. of months receiving disability pension 	no. of months receiving disability pension 	Months receiving pdi	-	
	pdinc	0	1	n/a	0	pension : disability : non-contributory	-	Invalidity pension - non contributory (Assegni di accompagnamento)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	pdint	0	1	n/a	1E-13	pension : disability : not taxable	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Non-taxable part of disability pension (Ar nodokli neapliekam? invalidit?tes pensijas da?a)	-	-	-	
	pdinw	0	1	n/a	0	pension : disability : not working	-	-	-	-	social pension	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	pdiss	0	1	n/a	0	pension : disability : social security	-	Invalidity pension - contributory (Pensione di invalidita')	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	State social security benefit in case of disability (Valsts soci?l? nodrošin?juma pabalsts invalidit?tes gad?jum?)	-	-	-	
	pdiss01	0	1	n/a	1E-13	pension : disability : social security : 01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"State social security benefit in case of disability for disabled from childhood (Valsts soci?l? nodrošin?juma pabalsts invalidit?tes gad?jum?, inval?diem kopš "	-	-	-	
	pdiss02	0	1	n/a	1E-13	pension : disability : social security : 02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"State social security benefit in case of disability for disabled from childhood (Valsts soci?l? nodrošin?juma pabalsts invalidit?tes gad?jum?, inval?diem kopš b?rn?bas)"	-	-	-	
	pdiss_s	1	1	n/a	1E-13	pension : disability : social security : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	social security disability pension	-	-	-	
	pditx	0	1	n/a	1E-13	pension : disability : taxable	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Taxable part of disability pension (Ar nodokli apliekam? invalidit?tes pensijas da?a)	-	-	-	
	pdiuc	0	1	n/a	0	pension : disability : unconditional/universal	-	-	-	-	nursing allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
